# "VAR1","VAR2","VAR3","VAR4","VAR5","VAR6","VAR7","VAR8","VAR9","VAR10","VAR11","VAR12"
0,0,0,0,0,0,0,0,-0.000110000000000055,-0.2439,0,0
0.0357099999999999,0,0.0535699999999999,0,0.18804,1.2195,0.19675,0.7317,0.14307,0.487799999999996,0.16104,0.7317
0.07165,0.487799999999996,0.10725,0.2439,0.28637,1.4634,0.34865,0.975599999999997,0.31293,0.975599999999997,0.40222,0.975599999999997
0.1164,0.7317,0.1789,0.7317,0.36683,1.7073,0.54508,0.975599999999997,0.5184,1.2195,0.58079,0.975599999999997
0.17901,0.975599999999997,0.25043,0.975599999999997,0.43837,1.9512,0.69697,1.2195,0.69697,1.2195,0.74151,0.975599999999997
0.23258,0.975599999999997,0.30412,1.2195,0.48312,2.1951,0.82219,1.7073,0.87554,1.2195,0.89329,0.975599999999997
0.28648,1.7073,0.33994,1.4634,0.54573,2.439,0.91169,2.1951,1.098867,1.4634,1.071863,0.975599999999997
0.32241,2.1951,0.36683,1.7073,0.58134,2.1951,0.965265,2.1951,1.259581,1.4634,1.250435,0.975599999999997
0.3493,2.439,0.39373,1.9512,0.59919,2.1951,1.009908,2.1951,1.393619,1.7073,1.411149,0.975599999999997
0.36727,2.6829,0.42051,1.9512,0.60812,2.1951,1.045622,2.1951,1.509908,2.1951,1.580792,0.975599999999997
0.39405,2.6829,0.4473,1.9512,0.61705,2.1951,1.108231,2.439,1.57219,1.7073,1.750435,0.975599999999997
0.42084,2.6829,0.48312,2.1951,0.65277,2.1951,1.11716,2.439,1.590156,1.9512,1.9290063,0.975599999999997
0.44784,3.1707,0.54573,2.439,0.69752,2.439,1.126088,2.439,1.608013,1.9512,2.107578,0.975599999999997
0.51949,3.6586,0.57252,2.439,0.76002,2.439,1.17084,2.6829,1.616942,1.9512,2.259472,1.2195
0.54638,3.9025,0.60845,2.9268,0.83166,2.9268,1.197626,2.6829,1.670513,1.9512,2.464829,1.2195
0.60028,4.6342,0.63534,3.1707,0.88523,2.9268,1.242269,2.6829,1.715156,1.9512,2.616724,1.4634
