V con,I con,err con,V het,I het,err het,V mut,I mut,err Mut,Mod Con V,Mod Con I,100% V,100% I,10% I,25% V,25% I
-129.638,-1.0101,0,-129.599,-22.7273,8.0808,-129.255,-35.8586,7.0707,-130,-0.009594082,-130,-31.679234,-3.1765576,-130,-7.926996
-119.68,-1.51515,0,-119.659,-13.1313,5.55554,-119.635,-26.7677,6.0606,-120,-0.007413636,-120,-25.72412,-2.579082,-120,-6.436596
-109.402,-1.51515,0,-109.389,-8.58586,0,-109.369,-19.697,5.0505,-110,-0.005233144,-110,-19.769006,-1.981611,-110,-4.946196
-99.4466,-0.505051,0,-99.756,-7.07071,0,-99.7415,-15.1515,0,-100,-0.003052666,-100,-13.813892,-1.3841354,-100,-3.4557592
-89.1701,0.505051,0,-89.1628,-3.53535,0,-89.4731,-9.59596,0,-90,0.001308281,-90,-7.858732,-0.7866598,-90,-1.9653408
-79.8544,0,0,-79.5305,-1.51515,0,-79.8508,-2.0202,0,-80,0.001369287,-80,-1.9036364,-0.18919018,-80,-0.4749316
-69.2539,-0.505051,0,-69.2557,0.505051,0,-69.2566,1.0101,0,-70,0.008020974,-70,4.0560224,0.41282102,-70,1.0200224
-59.9382,-1.0101,0,-59.3067,5.05051,0,-59.6334,8.08081,0,-60,0.02861591,-60,10.029564,1.0287118,-60,2.52885
-49.3387,-1.0101,0,-49.3523,6.56566,0,-49.3668,14.6465,4.5454,-50,0.08688388,-50,16.040752,1.6822706,-50,4.0753562
-39.3833,0,0,-39.7227,10.101,0,-39.7445,22.2222,5.0505,-40,0.24280318,-40,22.149644,2.4334874,-40,5.719502
-29.7482,0.505051,0,-30.0967,15.6566,0,-30.1248,31.3131,6.5657,-30,0.6427672,-30,28.50252,3.4287434,-30,7.60771
-19.4735,2.52525,0,-19.508,21.7172,5.5555,-19.5425,40.9091,7.5757,-20,1.6270798,-20,35.43978,5.008342,-20,10.080256
-9.84388,6.06061,0,-10.206,28.7879,6.5656,-9.92564,51.5152,8.5858,-10,3.9210722,-10,43.686706,7.897648,-10,13.862468
0.422685,12.6263,-3.03034,0.380897,35.8586,7.5757,0.325482,66.6667,9.5959,0,8.821098,0,54.53944,13.392946,0,20.250718
10.0441,20.7071,-4.0404,10.0042,42.9293,7.5758,9.93602,80.8081,11.6161,10,17.89262,10,69.56396,23.0598,10,30.810524
20.3034,31.3131,-6.5656,20.591,50,7.5758,20.5083,95.9596,11.6164,20,31.517774,20,89.14248,37.28024,20,45.923916
30.2397,42.9293,-8.5859,29.8849,61.6162,10.101,30.1171,111.111,13.131,30,47.42692,30,111.00398,53.78458,30,63.32084
39.853,55.5556,-12.1213,39.8275,69.697,11.1111,39.7303,123.737,13.132,40,62.15474,40,131.68512,69.10764,40,79.53722
50,66.1616,-13.1313,50,77.7778,12.6262,49.9896,134.343,14.142,50,74.02044,50,149.50368,81.56858,50,92.89102
