# VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38
0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432,0.005,-1.903693432
0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016,0.505,-1.903693016
1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602,1.005,-1.903692602
1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188,1.505,-1.903692188
2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777,2.005,-1.903691777
2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366,2.505,-1.903691366
3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957,3.005,-1.903690957
3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549,3.505,-1.903690549
4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143,4.005,-1.903690143
4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738,4.505,-1.903689738
5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335,5.005,-1.903689335
5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932,5.505,-1.903688932
