"Time","Membrane(mV)","Membrane(mV)10","Membrane(mV)25"
-50,-80.8,-80.01,-78.74
-49.5,-80.8,-80.01,-78.74
-49,-80.8,-80.01,-78.74
-48.5,-80.8,-80.01,-78.74
-48,-80.81,-80.01,-78.74
-47.5,-80.81,-80.01,-78.74
-47,-80.81,-80.01,-78.74
-46.5,-80.81,-80.01,-78.74
-46,-80.81,-80.01,-78.74
-45.5,-80.81,-80.01,-78.74
-45,-80.81,-80.01,-78.75
-44.5,-80.81,-80.02,-78.75
-44,-80.81,-80.02,-78.75
-43.5,-80.81,-80.02,-78.75
-43,-80.81,-80.02,-78.75
-42.5,-80.81,-80.02,-78.75
-42,-80.81,-80.02,-78.75
-41.5,-80.81,-80.02,-78.75
-41,-80.81,-80.02,-78.75
-40.5,-80.82,-80.02,-78.75
-40,-80.82,-80.02,-78.75
-39.5,-80.82,-80.02,-78.75
-39,-80.82,-80.02,-78.75
-38.5,-80.82,-80.02,-78.75
-38,-80.82,-80.02,-78.75
-37.5,-80.82,-80.02,-78.75
-37,-80.82,-80.02,-78.75
-36.5,-80.82,-80.02,-78.75
-36,-80.82,-80.02,-78.75
-35.5,-80.82,-80.02,-78.75
-35,-80.82,-80.02,-78.75
-34.5,-80.82,-80.02,-78.75
-34,-80.82,-80.02,-78.75
-33.5,-80.82,-80.02,-78.75
-33,-80.82,-80.02,-78.75
-32.5,-80.82,-80.02,-78.75
-32,-80.83,-80.02,-78.75
-31.5,-80.83,-80.02,-78.75
-31,-80.83,-80.02,-78.75
-30.5,-80.83,-80.02,-78.75
-30,-80.83,-80.02,-78.75
-29.5,-80.83,-80.02,-78.75
-29,-80.83,-80.02,-78.75
-28.5,-80.83,-80.03,-78.75
-28,-80.83,-80.03,-78.75
-27.5,-80.83,-80.03,-78.75
-27,-80.83,-80.03,-78.75
-26.5,-80.83,-80.03,-78.75
-26,-80.83,-80.03,-78.75
-25.5,-80.83,-80.03,-78.75
-25,-80.83,-80.03,-78.75
-24.5,-80.83,-80.03,-78.75
-24,-80.84,-80.03,-78.75
-23.5,-80.84,-80.03,-78.75
-23,-80.84,-80.03,-78.75
-22.5,-80.84,-80.03,-78.75
-22,-80.84,-80.03,-78.75
-21.5,-80.84,-80.03,-78.75
-21,-80.84,-80.03,-78.75
