"Time(ms)","IKs","IKs10","IKs25"
-50,0.03,-6.45,-12.06
-49.5,0.03,-6.45,-12.06
-49,0.03,-6.45,-12.07
-48.5,0.03,-6.45,-12.07
-48,0.03,-6.45,-12.07
-47.5,0.03,-6.45,-12.07
-47,0.03,-6.45,-12.07
-46.5,0.03,-6.45,-12.07
-46,0.03,-6.45,-12.07
-45.5,0.03,-6.45,-12.07
-45,0.03,-6.46,-12.07
-44.5,0.03,-6.46,-12.07
-44,0.03,-6.46,-12.07
-43.5,0.03,-6.46,-12.07
-43,0.03,-6.46,-12.07
-42.5,0.03,-6.46,-12.07
-42,0.03,-6.46,-12.07
-41.5,0.03,-6.46,-12.08
-41,0.03,-6.46,-12.08
-40.5,0.03,-6.46,-12.08
-40,0.03,-6.46,-12.08
-39.5,0.03,-6.46,-12.08
-39,0.03,-6.46,-12.08
-38.5,0.03,-6.46,-12.08
-38,0.03,-6.46,-12.08
-37.5,0.03,-6.46,-12.08
-37,0.03,-6.46,-12.08
-36.5,0.03,-6.46,-12.08
-36,0.03,-6.46,-12.08
-35.5,0.03,-6.46,-12.08
-35,0.03,-6.46,-12.08
-34.5,0.03,-6.46,-12.08
-34,0.03,-6.46,-12.09
-33.5,0.03,-6.46,-12.09
-33,0.03,-6.46,-12.09
-32.5,0.03,-6.47,-12.09
-32,0.03,-6.47,-12.09
-31.5,0.03,-6.47,-12.09
-31,0.03,-6.47,-12.09
-30.5,0.03,-6.47,-12.09
-30,0.03,-6.47,-12.09
-29.5,0.03,-6.47,-12.09
-29,0.03,-6.47,-12.09
-28.5,0.03,-6.47,-12.09
-28,0.03,-6.47,-12.09
-27.5,0.03,-6.47,-12.09
-27,0.03,-6.47,-12.09
-26.5,0.03,-6.47,-12.1
-26,0.03,-6.47,-12.1
-25.5,0.03,-6.47,-12.1
-25,0.03,-6.47,-12.1
-24.5,0.03,-6.47,-12.1
-24,0.03,-6.47,-12.1
-23.5,0.03,-6.47,-12.1
-23,0.03,-6.47,-12.1
-22.5,0.03,-6.47,-12.1
-22,0.03,-6.47,-12.1
-21.5,0.03,-6.47,-12.1
-21,0.03,-6.47,-12.1
-20.5,0.03,-6.47,-12.1
-20,0.03,-6.48,-12.1
-19.5,0.03,-6.48,-12.1
-19,0.03,-6.48,-12.1
-18.5,0.03,-6.48,-12.11
-18,0.03,-6.48,-12.11
-17.5,0.03,-6.48,-12.11
-17,0.03,-6.48,-12.11
-16.5,0.03,-6.48,-12.11
-16,0.03,-6.48,-12.11
-15.5,0.03,-6.48,-12.11
-15,0.03,-6.48,-12.11
-14.5,0.03,-6.48,-12.11
-14,0.03,-6.48,-12.11
-13.5,0.03,-6.48,-12.11
-13,0.03,-6.48,-12.11
-12.5,0.03,-6.48,-12.11
