# erpr for CRN98con found by binary search
#   BCL (ms)	  ERP (ms)	     ratio	    S1 Amp	    S2 Amp	 APD count
      1024	   327.969	  0.800069	   105.693	   84.5621	         9
       768	   326.969	  0.800025	   105.247	      84.2	         9
       704	   326.453	   0.80002	   105.066	   84.0548	         9
       672	   326.016	  0.800067	   104.962	   83.9768	         9
       640	   325.344	  0.800017	   104.848	   83.8802	         9
       608	   324.359	   0.80004	   104.721	   83.7806	         9
       592	   323.703	  0.800075	   104.645	   83.7236	         9
       576	   322.906	  0.800059	   104.564	   83.6571	         9
       560	   321.969	  0.800062	   104.477	   83.5879	         9
       552	   321.438	  0.800036	   104.437	   83.5537	         9
       544	   320.875	  0.800093	   104.396	   83.5263	         9
       536	   320.234	  0.800049	   104.339	   83.4759	         9
       528	   319.547	  0.800008	   104.292	   83.4342	         9
       520	   318.797	  0.800038	   104.228	   83.3864	         9
       512	   317.984	  0.800035	   104.174	   83.3427	         9
       504	   317.062	  0.800032	   104.101	   83.2844	         9
       500	   316.578	  0.800068	    104.07	   83.2627	         9
       496	   316.047	  0.800031	   104.036	   83.2322	         9
       492	     315.5	  0.800094	   104.001	   83.2103	         9
       488	   314.875	   0.80002	    103.95	   83.1622	         9
       484	    314.25	  0.800085	   103.911	   83.1375	         9
       480	   313.562	  0.800065	   103.869	   83.1017	         9
       476	   312.812	  0.800006	   103.824	   83.0594	         9
       472	       312	       0.8	   103.763	   83.0101	         9
       468	   311.156	  0.800064	   103.711	   82.9756	         9
       464	   310.234	  0.800056	   103.656	   82.9305	         9
       462	    309.75	  0.800099	   103.626	   82.9114	         9
       460	   309.219	  0.800022	   103.583	   82.8687	         9
       458	   308.703	  0.800064	   103.552	   82.8479	         9
       456	   308.156	  0.800048	   103.519	   82.8202	         9
       454	   307.594	  0.800025	   103.485	   82.7906	         9
       452	   307.016	  0.800055	   103.449	   82.7653	         9
       450	   306.422	  0.800073	   103.413	   82.7376	         9
       448	   305.797	  0.800036	   103.374	   82.7029	         9
       446	   305.172	  0.800073	   103.321	   82.6644	         9
       444	   304.516	  0.800071	   103.279	   82.6309	         9
       442	   303.844	  0.800057	   103.236	   82.5948	         9
       440	   303.141	  0.800006	   103.191	   82.5534	         9
