# erpr for CRN98s140g10 found by binary search
#   BCL (ms)	  ERP (ms)	     ratio	    S1 Amp	    S2 Amp	 APD count
      1024	   169.062	  0.800059	   104.266	   83.4187	         9
       960	   168.391	  0.800004	   104.216	   83.3736	         9
       896	    167.75	  0.800047	   104.172	   83.3427	         9
       832	   167.016	  0.800049	   104.105	   83.2888	         9
       768	   166.234	  0.800066	   104.024	    83.226	         9
       704	   165.312	  0.800023	   103.926	   83.1435	         9
       672	   164.828	   0.80004	   103.876	   83.1053	         9
       640	   164.281	  0.800074	   103.807	   83.0533	         9
       608	   163.672	  0.800035	    103.73	   82.9876	         9
       576	   163.016	  0.800052	   103.658	   82.9316	         9
       544	   162.281	  0.800013	   103.562	   82.8513	         9
       512	   161.484	  0.800038	   103.455	   82.7678	         9
       480	   160.562	  0.800003	    103.32	    82.656	         9
       448	   159.578	  0.800057	   103.178	   82.5486	         9
       432	   159.016	  0.800015	   103.092	   82.4751	         9
       416	   158.438	  0.800039	   102.998	   82.4024	         9
       400	   157.812	   0.80002	   102.895	   82.3177	         9
       384	   157.172	  0.800032	   102.793	   82.2374	         9
       368	   156.469	  0.800058	   102.662	   82.1358	         9
       352	   155.672	  0.800013	   102.499	   82.0002	         9
       336	   154.844	  0.800036	    102.32	   81.8601	         9
       320	   153.922	  0.800036	   102.104	    81.687	         9
       312	   153.438	   0.80006	   101.983	   81.5927	         9
       304	   152.891	  0.800034	   101.834	   81.4707	         9
       296	   152.312	  0.800013	   101.665	   81.3337	         9
       288	   151.719	  0.800021	   101.488	   81.1923	         9
       280	   151.062	  0.800068	    101.27	   81.0231	         9
       272	   150.344	  0.800057	   101.021	   80.8224	         9
       264	   149.578	  0.800038	   100.746	   80.6005	         9
       256	   148.719	  0.800004	   100.413	   80.3306	         9
       248	   147.781	  0.800019	   100.025	   80.0217	         9
       244	   147.297	  0.800075	   99.8135	   79.8583	         9
       240	   146.766	  0.800025	   99.5842	   79.6698	         9
       236	   146.203	  0.800044	   99.3227	   79.4625	         9
       232	   145.625	  0.800069	   99.0527	   79.2489	         9
       228	   145.031	  0.800164	    98.759	   79.0234	         9
       224	   144.359	  0.800017	    98.427	   78.7433	         9
       220	   143.672	  0.800012	   98.0795	   78.4648	         9
       216	   142.953	  0.800033	    97.701	    78.164	         9
       212	   142.172	  0.800063	   97.2757	   77.8267	         9
       208	   141.359	   0.80005	   96.8256	   77.4653	         9
       204	     140.5	  0.800092	   96.3339	   77.0759	         9
       200	   139.578	  0.800025	   95.7961	   76.6392	         9
       196	   138.609	  0.800045	   95.1956	   76.1607	         9
       194	   138.109	  0.800096	   94.8806	   75.9137	         9
       192	   137.578	  0.800055	   94.5507	   75.6457	         9
       190	   137.031	  0.800022	   94.2051	   75.3661	         9
       188	   136.484	  0.800058	   93.8432	     75.08	         9
       186	   135.906	  0.800052	   93.4633	   74.7755	         9
       185	   135.609	   0.80001	   93.2665	   74.6141	         9
     184.5	   135.453	  0.800075	   93.1544	   74.5306	         9
    184.38	   135.406	  0.800013	   93.1302	   74.5054	         9
    184.32	   135.391	  0.800033	   93.1181	   74.4976	         9
    184.32	   135.391	  0.800033	   93.1181	   74.4976	         9
