# CRN98 bosch_am @ 1.0Hz (beat 10)
# times shifted to give profile starting at 0ms, with stimulus at 50ms
#  time (ms)  Membrane (mV)   [Ca2+]i (mM)            Ito           Ikur            IK1
       0.005        -85.176     9.2627e-05              0              0              0
       0.505        -85.176    9.26198e-05              0              0              0
       1.005        -85.176    9.26126e-05              0              0              0
       1.505        -85.176    9.26054e-05              0              0              0
       2.005        -85.176    9.25982e-05              0              0              0
       2.505        -85.176    9.25911e-05              0              0              0
       3.005        -85.176    9.25839e-05              0              0              0
       3.505        -85.176    9.25768e-05              0              0              0
       4.005        -85.176    9.25696e-05              0              0              0
       4.505        -85.176    9.25625e-05              0              0              0
       5.005        -85.176    9.25554e-05              0              0              0
       5.505        -85.176    9.25483e-05              0              0              0
       6.005        -85.176    9.25412e-05              0              0              0
       6.505        -85.176    9.25342e-05              0              0              0
       7.005        -85.177    9.25271e-05              0              0              0
       7.505        -85.177    9.25201e-05              0              0              0
       8.005        -85.177     9.2513e-05              0              0              0
       8.505        -85.177     9.2506e-05              0              0              0
       9.005        -85.177     9.2499e-05              0              0              0
       9.505        -85.177     9.2492e-05              0              0              0
      10.005        -85.177     9.2485e-05              0              0              0
      10.505        -76.371    9.24824e-05              0              0              0
      11.005        -67.079    9.24903e-05              0              0              0
      11.505        -57.728    9.25093e-05              0              0              0
      12.005        -44.172    9.25416e-05              0              0              0
      12.505         19.241    9.26335e-05              0              0              0
      13.005         25.774     9.2843e-05              0              0              0
      13.505         24.439    9.30997e-05              0              0              0
      14.005         22.438    9.33818e-05              0              0              0
      14.505         20.332    9.36788e-05              0              0              0
      15.005         18.327    9.39852e-05              0              0              0
      15.505         16.489    9.42976e-05              0              0              0
      16.005         14.826    9.46561e-05              0              0              0
      16.505         13.328     9.5588e-05              0              0              0
      17.005         11.978    9.76871e-05              0              0              0
      17.505         10.756    0.000101216              0              0              0
      18.005          9.646    0.000106199              0              0              0
      18.505          8.632    0.000112509              0              0              0
      19.005          7.701    0.000119931              0              0              0
      19.505          6.842    0.000128212              0              0              0
      20.005          6.044    0.000137097              0              0              0
      20.505          5.299    0.000146345              0              0              0
      21.005          4.601    0.000155746              0              0              0
      21.505          3.942    0.000165123              0              0              0
      22.005          3.318    0.000174333              0              0              0
      22.505          2.724    0.000183262              0              0              0
      23.005          2.157    0.000191829              0              0              0
      23.505          1.614    0.000199974              0              0              0
      24.005          1.091    0.000207659              0              0              0
      24.505          0.587    0.000214863              0              0              0
      25.005          0.100    0.000221575              0              0              0
      25.505         -0.372      0.0002278              0              0              0
      26.005         -0.830    0.000233545              0              0              0
      26.505         -1.276    0.000238828              0              0              0
      27.005         -1.710    0.000243667              0              0              0
      27.505         -2.133    0.000248087              0              0              0
      28.005         -2.547     0.00025211              0              0              0
      28.505         -2.951    0.000255762              0              0              0
      29.005         -3.347    0.000259069              0              0              0
      29.505         -3.735    0.000262057              0              0              0
      30.005         -4.115    0.000264748              0              0              0
      30.505         -4.489    0.000267168              0              0              0
      31.005         -4.856    0.000269338              0              0              0
      31.505         -5.216     0.00027128              0              0              0
      32.005         -5.572    0.000273013              0              0              0
      32.505         -5.921    0.000274557              0              0              0
      33.005         -6.266    0.000275928              0              0              0
      33.505         -6.606    0.000277142              0              0              0
      34.005         -6.941    0.000278215              0              0              0
      34.505         -7.272    0.000279159              0              0              0
      35.005         -7.599    0.000279987              0              0              0
      35.505         -7.923     0.00028071              0              0              0
      36.005         -8.243    0.000281338              0              0              0
      36.505         -8.560    0.000281881              0              0              0
      37.005         -8.874    0.000282348              0              0              0
      37.505         -9.185    0.000282745              0              0              0
      38.005         -9.493    0.000283079              0              0              0
      38.505         -9.799    0.000283358              0              0              0
      39.005        -10.103    0.000283586              0              0              0
      39.505        -10.405    0.000283769              0              0              0
      40.005        -10.704    0.000283911              0              0              0
      40.505        -11.003    0.000284016              0              0              0
      41.005        -11.299    0.000284088              0              0              0
      41.505        -11.595     0.00028413              0              0              0
      42.005        -11.889    0.000284145              0              0              0
      42.505        -12.182    0.000284136              0              0              0
      43.005        -12.473    0.000284105              0              0              0
      43.505        -12.765    0.000284054              0              0              0
      44.005        -13.055    0.000283986              0              0              0
      44.505        -13.345    0.000283901              0              0              0
      45.005        -13.634    0.000283792              0              0              0
      45.505        -13.923    0.000283654              0              0              0
      46.005        -14.212    0.000283495              0              0              0
      46.505        -14.500    0.000283322              0              0              0
      47.005        -14.789    0.000283137              0              0              0
      47.505        -15.078    0.000282944              0              0              0
      48.005        -15.366    0.000282745              0              0              0
      48.505        -15.655     0.00028254              0              0              0
      49.005        -15.944     0.00028233              0              0              0
      49.505        -16.234    0.000282117              0              0              0
      50.005        -16.524    0.000281899              0              0              0
      50.505        -16.815    0.000281679              0              0              0
      51.005        -17.106    0.000281455              0              0              0
      51.505        -17.398    0.000281228              0              0              0
      52.005        -17.690    0.000280999              0              0              0
      52.505        -17.984    0.000280767              0              0              0
      53.005        -18.278    0.000280532              0              0              0
      53.505        -18.573    0.000280294              0              0              0
      54.005        -18.870    0.000280054              0              0              0
      54.505        -19.167    0.000279811              0              0              0
      55.005        -19.466    0.000279565              0              0              0
      55.505        -19.765    0.000279317              0              0              0
      56.005        -20.066    0.000279067              0              0              0
      56.505        -20.369    0.000278814              0              0              0
      57.005        -20.672    0.000278559              0              0              0
      57.505        -20.977    0.000278301              0              0              0
      58.005        -21.284    0.000278041              0              0              0
      58.505        -21.592    0.000277779              0              0              0
      59.005        -21.902    0.000277516              0              0              0
      59.505        -22.213    0.000277251              0              0              0
      60.005        -22.526    0.000276984              0              0              0
      60.505        -22.840    0.000276716              0              0              0
      61.005        -23.157    0.000276447              0              0              0
      61.505        -23.475    0.000276177              0              0              0
      62.005        -23.795    0.000275905              0              0              0
      62.505        -24.117    0.000275632              0              0              0
      63.005        -24.441    0.000275358              0              0              0
      63.505        -24.767    0.000275083              0              0              0
      64.005        -25.096    0.000274806              0              0              0
      64.505        -25.426    0.000274529              0              0              0
      65.005        -25.759     0.00027425              0              0              0
      65.505        -26.093     0.00027397              0              0              0
      66.005        -26.431    0.000273689              0              0              0
      66.505        -26.770    0.000273407              0              0              0
      67.005        -27.112    0.000273124              0              0              0
      67.505        -27.457    0.000272839              0              0              0
      68.005        -27.804    0.000272554              0              0              0
      68.505        -28.154    0.000272268              0              0              0
      69.005        -28.506    0.000271981              0              0              0
      69.505        -28.862    0.000271692              0              0              0
      70.005        -29.220    0.000271403              0              0              0
      70.505        -29.581    0.000271113              0              0              0
      71.005        -29.945    0.000270821              0              0              0
      71.505        -30.313    0.000270529              0              0              0
      72.005        -30.683    0.000270236              0              0              0
      72.505        -31.057    0.000269942              0              0              0
      73.005        -31.434    0.000269647              0              0              0
      73.505        -31.814    0.000269351              0              0              0
      74.005        -32.198    0.000269054              0              0              0
      74.505        -32.586    0.000268756              0              0              0
      75.005        -32.978    0.000268457              0              0              0
      75.505        -33.373    0.000268158              0              0              0
      76.005        -33.772    0.000267857              0              0              0
      76.505        -34.176    0.000267556              0              0              0
      77.005        -34.583    0.000267254              0              0              0
      77.505        -34.995    0.000266951              0              0              0
      78.005        -35.411    0.000266647              0              0              0
      78.505        -35.832    0.000266342              0              0              0
      79.005        -36.257    0.000266036              0              0              0
      79.505        -36.687     0.00026573              0              0              0
      80.005        -37.122    0.000265422              0              0              0
      80.505        -37.563    0.000265114              0              0              0
      81.005        -38.008    0.000264805              0              0              0
      81.505        -38.459    0.000264494              0              0              0
      82.005        -38.915    0.000264183              0              0              0
      82.505        -39.377    0.000263871              0              0              0
      83.005        -39.845    0.000263558              0              0              0
      83.505        -40.319    0.000263243              0              0              0
      84.005        -40.798    0.000262927              0              0              0
      84.505        -41.285    0.000262609              0              0              0
      85.005        -41.777    0.000262288              0              0              0
      85.505        -42.277    0.000261965              0              0              0
      86.005        -42.783    0.000261638              0              0              0
      86.505        -43.297    0.000261308              0              0              0
      87.005        -43.817    0.000260976              0              0              0
      87.505        -44.345     0.00026064              0              0              0
      88.005        -44.881    0.000260301              0              0              0
      88.505        -45.424     0.00025996              0              0              0
      89.005        -45.975    0.000259616              0              0              0
      89.505        -46.535     0.00025927              0              0              0
      90.005        -47.103    0.000258922              0              0              0
      90.505        -47.679    0.000258571              0              0              0
      91.005        -48.264    0.000258219              0              0              0
      91.505        -48.858    0.000257864              0              0              0
      92.005        -49.461    0.000257508              0              0              0
      92.505        -50.073     0.00025715              0              0              0
      93.005        -50.694     0.00025679              0              0              0
      93.505        -51.325    0.000256428              0              0              0
      94.005        -51.965    0.000256065              0              0              0
      94.505        -52.615      0.0002557              0              0              0
      95.005        -53.274    0.000255333              0              0              0
      95.505        -53.942    0.000254965              0              0              0
      96.005        -54.620    0.000254596              0              0              0
      96.505        -55.307    0.000254225              0              0              0
      97.005        -56.003    0.000253852              0              0              0
      97.505        -56.708    0.000253478              0              0              0
      98.005        -57.421    0.000253103              0              0              0
      98.505        -58.142    0.000252726              0              0              0
      99.005        -58.872    0.000252348              0              0              0
      99.505        -59.608    0.000251968              0              0              0
     100.005        -60.350    0.000251587              0              0              0
     100.505        -61.098    0.000251204              0              0              0
     101.005        -61.851     0.00025082              0              0              0
     101.505        -62.607    0.000250434              0              0              0
     102.005        -63.366    0.000250047              0              0              0
     102.505        -64.126    0.000249659              0              0              0
     103.005        -64.887    0.000249269              0              0              0
     103.505        -65.645    0.000248878              0              0              0
     104.005        -66.401    0.000248486              0              0              0
     104.505        -67.153    0.000248092              0              0              0
     105.005        -67.898    0.000247697              0              0              0
     105.505        -68.635    0.000247301              0              0              0
     106.005        -69.362    0.000246903              0              0              0
     106.505        -70.079    0.000246505              0              0              0
     107.005        -70.782    0.000246105              0              0              0
     107.505        -71.470    0.000245705              0              0              0
     108.005        -72.142    0.000245304              0              0              0
     108.505        -72.797    0.000244901              0              0              0
     109.005        -73.432    0.000244498              0              0              0
     109.505        -74.047    0.000244094              0              0              0
     110.005        -74.641     0.00024369              0              0              0
     110.505        -75.213    0.000243285              0              0              0
     111.005        -75.763    0.000242879              0              0              0
     111.505        -76.289    0.000242474              0              0              0
     112.005        -76.792    0.000242068              0              0              0
     112.505        -77.271    0.000241661              0              0              0
     113.005        -77.726    0.000241255              0              0              0
     113.505        -78.158    0.000240848              0              0              0
     114.005        -78.567    0.000240442              0              0              0
     114.505        -78.953    0.000240036              0              0              0
     115.005        -79.317    0.000239629              0              0              0
     115.505        -79.660    0.000239224              0              0              0
     116.005        -79.982    0.000238818              0              0              0
     116.505        -80.283    0.000238413              0              0              0
     117.005        -80.566    0.000238008              0              0              0
     117.505        -80.830    0.000237604              0              0              0
     118.005        -81.076    0.000237201              0              0              0
     118.505        -81.307    0.000236798              0              0              0
     119.005        -81.521    0.000236396              0              0              0
     119.505        -81.720    0.000235995              0              0              0
     120.005        -81.906    0.000235594              0              0              0
     120.505        -82.078    0.000235194              0              0              0
     121.005        -82.238    0.000234795              0              0              0
     121.505        -82.386    0.000234398              0              0              0
     122.005        -82.523    0.000234001              0              0              0
     122.505        -82.650    0.000233605              0              0              0
     123.005        -82.768    0.000233209              0              0              0
     123.505        -82.877    0.000232815              0              0              0
     124.005        -82.978    0.000232423              0              0              0
     124.505        -83.071    0.000232031              0              0              0
     125.005        -83.158     0.00023164              0              0              0
     125.505        -83.237     0.00023125              0              0              0
     126.005        -83.311    0.000230862              0              0              0
     126.505        -83.379    0.000230474              0              0              0
     127.005        -83.442    0.000230088              0              0              0
     127.505        -83.500    0.000229703              0              0              0
     128.005        -83.554    0.000229319              0              0              0
     128.505        -83.604    0.000228936              0              0              0
     129.005        -83.650    0.000228554              0              0              0
     129.505        -83.692    0.000228174              0              0              0
     130.005        -83.731    0.000227795              0              0              0
     130.505        -83.768    0.000227417              0              0              0
     131.005        -83.801     0.00022704              0              0              0
     131.505        -83.832    0.000226664              0              0              0
     132.005        -83.861     0.00022629              0              0              0
     132.505        -83.888    0.000225916              0              0              0
     133.005        -83.912    0.000225544              0              0              0
     133.505        -83.935    0.000225173              0              0              0
     134.005        -83.957    0.000224804              0              0              0
     134.505        -83.977    0.000224435              0              0              0
     135.005        -83.995    0.000224068              0              0              0
     135.505        -84.012    0.000223702              0              0              0
     136.005        -84.028    0.000223337              0              0              0
     136.505        -84.043    0.000222974              0              0              0
     137.005        -84.057    0.000222611              0              0              0
     137.505        -84.070     0.00022225              0              0              0
     138.005        -84.082     0.00022189              0              0              0
     138.505        -84.093    0.000221531              0              0              0
     139.005        -84.104    0.000221173              0              0              0
     139.505        -84.114    0.000220817              0              0              0
     140.005        -84.123    0.000220462              0              0              0
     140.505        -84.132    0.000220107              0              0              0
     141.005        -84.140    0.000219754              0              0              0
     141.505        -84.148    0.000219403              0              0              0
     142.005        -84.156    0.000219052              0              0              0
     142.505        -84.163    0.000218703              0              0              0
     143.005        -84.169    0.000218354              0              0              0
     143.505        -84.176    0.000218007              0              0              0
     144.005        -84.182    0.000217661              0              0              0
     144.505        -84.188    0.000217316              0              0              0
