# CRN98 bosch_ct @ 1.0Hz (beat 10)
# times shifted to give profile starting at 0ms, with stimulus at 50ms
#  time (ms)  Membrane (mV)   [Ca2+]i (mM)            Ito           Ikur            IK1
       0.005        -85.216    8.74212e-05              0              0              0
       0.505        -85.216    8.74095e-05              0              0              0
       1.005        -85.216     8.7398e-05              0              0              0
       1.505        -85.216    8.73864e-05              0              0              0
       2.005        -85.216    8.73748e-05              0              0              0
       2.505        -85.216    8.73633e-05              0              0              0
       3.005        -85.216    8.73518e-05              0              0              0
       3.505        -85.216    8.73403e-05              0              0              0
       4.005        -85.216    8.73288e-05              0              0              0
       4.505        -85.217    8.73174e-05              0              0              0
       5.005        -85.217    8.73059e-05              0              0              0
       5.505        -85.217    8.72945e-05              0              0              0
       6.005        -85.217    8.72831e-05              0              0              0
       6.505        -85.217    8.72717e-05              0              0              0
       7.005        -85.217    8.72604e-05              0              0              0
       7.505        -85.217     8.7249e-05              0              0              0
       8.005        -85.217    8.72377e-05              0              0              0
       8.505        -85.217    8.72264e-05              0              0              0
       9.005        -85.217    8.72151e-05              0              0              0
       9.505        -85.217    8.72038e-05              0              0              0
      10.005        -85.217    8.71926e-05              0              0              0
      10.505        -76.412    8.71855e-05              0              0              0
      11.005        -67.123    8.71886e-05              0              0              0
      11.505        -57.776    8.72025e-05              0              0              0
      12.005        -44.307    8.72297e-05              0              0              0
      12.505         18.987     8.7319e-05              0              0              0
      13.005         25.802    8.75561e-05              0              0              0
      13.505         24.580    8.78878e-05              0              0              0
      14.005         22.690    8.90605e-05              0              0              0
      14.505         20.712    9.24613e-05              0              0              0
      15.005         18.853    9.88346e-05              0              0              0
      15.505         17.175    0.000108344              0              0              0
      16.005         15.682    0.000120734              0              0              0
      16.505         14.354    0.000135495              0              0              0
      17.005         13.168    0.000152008              0              0              0
      17.505         12.103     0.00016965              0              0              0
      18.005         11.139    0.000187853              0              0              0
      18.505         10.258    0.000206138              0              0              0
      19.005          9.448    0.000224121              0              0              0
      19.505          8.696    0.000241514              0              0              0
      20.005          7.994    0.000258109              0              0              0
      20.505          7.335     0.00027377              0              0              0
      21.005          6.713    0.000288414              0              0              0
      21.505          6.122    0.000302006              0              0              0
      22.005          5.559    0.000314541              0              0              0
      22.505          5.021     0.00032604              0              0              0
      23.005          4.504    0.000336541              0              0              0
      23.505          4.008    0.000346094              0              0              0
      24.005          3.530    0.000354753              0              0              0
      24.505          3.068    0.000362579              0              0              0
      25.005          2.622    0.000369632              0              0              0
