# CRN98 con @ 1.0Hz (beat 10)
# times shifted to give profile starting at 0ms, with stimulus at 50ms
#  time (ms)  Membrane (mV)   [Ca2+]i (mM)            Ito           Ikur            IK1
       0.005        -80.851    0.000115524              0              0              0
       0.505        -80.851    0.000115503              0              0              0
       1.005        -80.852    0.000115483              0              0              0
       1.505        -80.853    0.000115462              0              0              0
       2.005        -80.853    0.000115441              0              0              0
       2.505        -80.854     0.00011542              0              0              0
       3.005        -80.854    0.000115399              0              0              0
       3.505        -80.855    0.000115378              0              0              0
       4.005        -80.855    0.000115357              0              0              0
       4.505        -80.856    0.000115337              0              0              0
       5.005        -80.857    0.000115316              0              0              0
       5.505        -80.857    0.000115295              0              0              0
       6.005        -80.858    0.000115275              0              0              0
       6.505        -80.858    0.000115254              0              0              0
       7.005        -80.859    0.000115234              0              0              0
       7.505        -80.859    0.000115213              0              0              0
       8.005        -80.860    0.000115193              0              0              0
       8.505        -80.860    0.000115172              0              0              0
       9.005        -80.861    0.000115152              0              0              0
       9.505        -80.861    0.000115131              0              0              0
      10.005        -80.862    0.000115111              0              0              0
      10.505        -71.836    0.000115096              0              0              0
      11.005        -61.994    0.000115096              0              0              0
      11.505        -51.462    0.000115111              0              0              0
      12.005        -11.410    0.000115158              0              0              0
      12.505         24.613    0.000115409              0              0              0
      13.005         22.878    0.000116929              0              0              0
      13.505         18.622    0.000122577              0              0              0
      14.005         14.155    0.000134268              0              0              0
      14.505         10.257    0.000152677              0              0              0
      15.005          7.090    0.000177378              0              0              0
      15.505          4.576    0.000207253              0              0              0
      16.005          2.582    0.000240901              0              0              0
      16.505          0.980    0.000276912              0              0              0
      17.005         -0.333    0.000314017              0              0              0
      17.505         -1.435    0.000351151              0              0              0
      18.005         -2.380    0.000387475              0              0              0
      18.505         -3.209    0.000422365              0              0              0
      19.005         -3.949    0.000455385              0              0              0
      19.505         -4.619    0.000486258              0              0              0
      20.005         -5.233    0.000514839              0              0              0
      20.505         -5.799    0.000541078              0              0              0
      21.005         -6.324    0.000565003              0              0              0
      21.505         -6.813    0.000586688              0              0              0
      22.005         -7.269    0.000606247              0              0              0
      22.505         -7.694    0.000623809              0              0              0
      23.005         -8.092    0.000639519              0              0              0
      23.505         -8.464    0.000653521              0              0              0
      24.005         -8.812     0.00066596              0              0              0
      24.505         -9.136    0.000676975              0              0              0
      25.005         -9.440    0.000686697              0              0              0
      25.505         -9.723    0.000695249              0              0              0
      26.005         -9.986    0.000702746              0              0              0
      26.505        -10.232    0.000709292              0              0              0
      27.005        -10.461    0.000714984              0              0              0
      27.505        -10.674    0.000719908              0              0              0
      28.005        -10.872    0.000724143              0              0              0
      28.505        -11.056    0.000727761              0              0              0
      29.005        -11.226    0.000730827              0              0              0
      29.505        -11.384    0.000733399              0              0              0
      30.005        -11.530    0.000735528              0              0              0
      30.505        -11.665    0.000737264              0              0              0
      31.005        -11.789    0.000738647              0              0              0
      31.505        -11.903    0.000739715              0              0              0
      32.005        -12.008    0.000740504              0              0              0
      32.505        -12.104    0.000741042              0              0              0
      33.005        -12.191    0.000741359              0              0              0
      33.505        -12.271    0.000741477              0              0              0
      34.005        -12.343     0.00074142              0              0              0
      34.505        -12.408    0.000741207              0              0              0
      35.005        -12.466    0.000740855              0              0              0
      35.505        -12.518     0.00074038              0              0              0
      36.005        -12.564    0.000739797              0              0              0
      36.505        -12.604    0.000739117              0              0              0
      37.005        -12.639    0.000738353              0              0              0
      37.505        -12.668    0.000737513              0              0              0
      38.005        -12.693    0.000736608              0              0              0
      38.505        -12.713    0.000735644              0              0              0
      39.005        -12.728     0.00073463              0              0              0
      39.505        -12.740    0.000733571              0              0              0
      40.005        -12.747    0.000732474              0              0              0
      40.505        -12.750    0.000731343              0              0              0
      41.005        -12.750    0.000730182              0              0              0
      41.505        -12.747    0.000728997              0              0              0
      42.005        -12.740     0.00072779              0              0              0
      42.505        -12.730    0.000726564              0              0              0
      43.005        -12.717    0.000725323              0              0              0
      43.505        -12.701    0.000724069              0              0              0
      44.005        -12.683    0.000722804              0              0              0
      44.505        -12.662    0.000721531              0              0              0
      45.005        -12.639     0.00072025              0              0              0
      45.505        -12.613    0.000718964              0              0              0
      46.005        -12.586     0.00071767              0              0              0
      46.505        -12.556    0.000716361              0              0              0
      47.005        -12.524    0.000715042              0              0              0
      47.505        -12.491    0.000713718              0              0              0
      48.005        -12.455    0.000712393              0              0              0
      48.505        -12.419    0.000711069              0              0              0
      49.005        -12.380    0.000709748              0              0              0
      49.505        -12.340    0.000708432              0              0              0
      50.005        -12.299    0.000707121              0              0              0
      50.505        -12.256    0.000705815              0              0              0
      51.005        -12.213    0.000704515              0              0              0
      51.505        -12.168    0.000703221              0              0              0
      52.005        -12.122    0.000701934              0              0              0
      52.505        -12.075    0.000700653              0              0              0
      53.005        -12.027    0.000699379              0              0              0
      53.505        -11.978    0.000698112              0              0              0
      54.005        -11.928    0.000696851              0              0              0
      54.505        -11.878    0.000695597              0              0              0
      55.005        -11.827    0.000694349              0              0              0
      55.505        -11.775    0.000693109              0              0              0
      56.005        -11.723    0.000691875              0              0              0
      56.505        -11.671    0.000690647              0              0              0
      57.005        -11.618    0.000689427              0              0              0
      57.505        -11.564    0.000688213              0              0              0
      58.005        -11.510    0.000687006              0              0              0
      58.505        -11.456    0.000685805              0              0              0
      59.005        -11.402    0.000684611              0              0              0
      59.505        -11.348    0.000683424              0              0              0
      60.005        -11.293    0.000682243              0              0              0
      60.505        -11.239    0.000681068              0              0              0
      61.005        -11.184      0.0006799              0              0              0
      61.505        -11.129    0.000678739              0              0              0
      62.005        -11.075    0.000677584              0              0              0
      62.505        -11.020    0.000676435              0              0              0
      63.005        -10.966    0.000675293              0              0              0
      63.505        -10.912    0.000674157              0              0              0
      64.005        -10.858    0.000673027              0              0              0
      64.505        -10.804    0.000671903              0              0              0
      65.005        -10.751    0.000670786              0              0              0
      65.505        -10.697    0.000669674              0              0              0
      66.005        -10.645    0.000668569              0              0              0
      66.505        -10.592    0.000667469              0              0              0
      67.005        -10.540    0.000666376              0              0              0
      67.505        -10.489    0.000665288              0              0              0
      68.005        -10.438    0.000664206              0              0              0
      68.505        -10.388     0.00066313              0              0              0
      69.005        -10.338     0.00066206              0              0              0
      69.505        -10.288    0.000660995              0              0              0
      70.005        -10.240    0.000659936              0              0              0
      70.505        -10.192    0.000658882              0              0              0
      71.005        -10.144    0.000657834              0              0              0
      71.505        -10.097    0.000656791              0              0              0
      72.005        -10.051    0.000655754              0              0              0
      72.505        -10.006    0.000654722              0              0              0
      73.005         -9.962    0.000653696              0              0              0
      73.505         -9.918    0.000652674              0              0              0
      74.005         -9.875    0.000651658              0              0              0
      74.505         -9.833    0.000650646              0              0              0
      75.005         -9.792     0.00064964              0              0              0
      75.505         -9.751    0.000648639              0              0              0
      76.005         -9.712    0.000647642              0              0              0
      76.505         -9.673     0.00064665              0              0              0
      77.005         -9.636    0.000645663              0              0              0
      77.505         -9.599    0.000644681              0              0              0
      78.005         -9.563    0.000643704              0              0              0
      78.505         -9.529    0.000642731              0              0              0
      79.005         -9.495    0.000641762              0              0              0
      79.505         -9.462    0.000640798              0              0              0
      80.005         -9.430    0.000639838              0              0              0
      80.505         -9.399    0.000638883              0              0              0
      81.005         -9.370    0.000637932              0              0              0
      81.505         -9.341    0.000636985              0              0              0
      82.005         -9.313    0.000636042              0              0              0
      82.505         -9.287    0.000635104              0              0              0
      83.005         -9.261    0.000634169              0              0              0
      83.505         -9.237    0.000633238              0              0              0
      84.005         -9.214    0.000632312              0              0              0
      84.505         -9.192    0.000631389              0              0              0
      85.005         -9.171     0.00063047              0              0              0
      85.505         -9.151    0.000629554              0              0              0
      86.005         -9.132    0.000628642              0              0              0
      86.505         -9.114    0.000627734              0              0              0
      87.005         -9.097     0.00062683              0              0              0
      87.505         -9.082    0.000625929              0              0              0
      88.005         -9.068    0.000625031              0              0              0
      88.505         -9.055    0.000624137              0              0              0
      89.005         -9.043    0.000623246              0              0              0
      89.505         -9.032    0.000622358              0              0              0
      90.005         -9.022    0.000621474              0              0              0
      90.505         -9.013    0.000620592              0              0              0
      91.005         -9.006    0.000619714              0              0              0
      91.505         -9.000    0.000618839              0              0              0
      92.005         -8.995    0.000617967              0              0              0
      92.505         -8.991    0.000617098              0              0              0
      93.005         -8.988    0.000616231              0              0              0
      93.505         -8.986    0.000615368              0              0              0
      94.005         -8.986    0.000614507              0              0              0
      94.505         -8.986    0.000613649              0              0              0
      95.005         -8.988    0.000612794              0              0              0
      95.505         -8.991    0.000611941              0              0              0
      96.005         -8.995    0.000611091              0              0              0
      96.505         -9.001    0.000610244              0              0              0
      97.005         -9.007    0.000609399              0              0              0
      97.505         -9.015    0.000608556              0              0              0
      98.005         -9.023    0.000607716              0              0              0
      98.505         -9.033    0.000606878              0              0              0
      99.005         -9.044    0.000606042              0              0              0
      99.505         -9.056    0.000605209              0              0              0
     100.005         -9.069    0.000604378              0              0              0
     100.505         -9.084    0.000603549              0              0              0
     101.005         -9.099    0.000602722              0              0              0
     101.505         -9.116    0.000601898              0              0              0
     102.005         -9.133    0.000601075              0              0              0
     102.505         -9.152    0.000600254              0              0              0
     103.005         -9.172    0.000599435              0              0              0
     103.505         -9.193    0.000598619              0              0              0
     104.005         -9.215    0.000597804              0              0              0
     104.505         -9.238     0.00059699              0              0              0
     105.005         -9.262    0.000596179              0              0              0
     105.505         -9.288    0.000595369              0              0              0
     106.005         -9.314    0.000594561              0              0              0
     106.505         -9.341    0.000593755              0              0              0
     107.005         -9.370    0.000592951              0              0              0
     107.505         -9.399    0.000592147              0              0              0
     108.005         -9.430    0.000591346              0              0              0
     108.505         -9.462    0.000590546              0              0              0
     109.005         -9.495    0.000589748              0              0              0
     109.505         -9.528     0.00058895              0              0              0
     110.005         -9.563    0.000588155              0              0              0
     110.505         -9.599     0.00058736              0              0              0
     111.005         -9.636    0.000586568              0              0              0
     111.505         -9.674    0.000585776              0              0              0
     112.005         -9.713    0.000584985              0              0              0
     112.505         -9.753    0.000584196              0              0              0
     113.005         -9.794    0.000583408              0              0              0
     113.505         -9.836    0.000582622              0              0              0
     114.005         -9.879    0.000581836              0              0              0
     114.505         -9.923    0.000581051              0              0              0
     115.005         -9.968    0.000580268              0              0              0
     115.505        -10.014    0.000579485              0              0              0
     116.005        -10.061    0.000578704              0              0              0
     116.505        -10.109    0.000577923              0              0              0
     117.005        -10.158    0.000577144              0              0              0
