# CRN98 ct @ 1.0Hz (beat 10)
# times shifted to give profile starting at 0ms, with stimulus at 50ms
#  time (ms)  Membrane (mV)   [Ca2+]i (mM)            Ito           Ikur            IK1
       0.005        -80.250    0.000137446              0              0              0
       0.505        -80.250    0.000137419              0              0              0
       1.005        -80.251    0.000137393              0              0              0
       1.505        -80.252    0.000137366              0              0              0
       2.005        -80.253     0.00013734              0              0              0
       2.505        -80.253    0.000137313              0              0              0
       3.005        -80.254    0.000137287              0              0              0
       3.505        -80.255    0.000137261              0              0              0
       4.005        -80.255    0.000137234              0              0              0
       4.505        -80.256    0.000137208              0              0              0
       5.005        -80.257    0.000137182              0              0              0
       5.505        -80.258    0.000137156              0              0              0
       6.005        -80.258     0.00013713              0              0              0
       6.505        -80.259    0.000137104              0              0              0
       7.005        -80.260    0.000137078              0              0              0
       7.505        -80.260    0.000137052              0              0              0
       8.005        -80.261    0.000137026              0              0              0
       8.505        -80.262       0.000137              0              0              0
       9.005        -80.262    0.000136974              0              0              0
       9.505        -80.263    0.000136949              0              0              0
      10.005        -80.264    0.000136923              0              0              0
      10.505        -71.236    0.000136904              0              0              0
      11.005        -61.382    0.000136902              0              0              0
      11.505        -50.671     0.00013692              0              0              0
      12.005         -5.205    0.000136983              0              0              0
      12.505         24.776    0.000137504              0              0              0
      13.005         22.548    0.000141519              0              0              0
      13.505         17.895     0.00015281              0              0              0
      14.005         13.245    0.000173523              0              0              0
      14.505          9.396    0.000204041              0              0              0
      15.005          6.429    0.000243284              0              0              0
      15.505          4.187    0.000289402              0              0              0
      16.005          2.479    0.000340323              0              0              0
      16.505          1.142    0.000394075              0              0              0
      17.005          0.058    0.000448932              0              0              0
      17.505         -0.856    0.000503467              0              0              0
      18.005         -1.653    0.000556563              0              0              0
      18.505         -2.367    0.000607389              0              0              0
      19.005         -3.021    0.000655371              0              0              0
      19.505         -3.626    0.000700148              0              0              0
      20.005         -4.190    0.000741533              0              0              0
      20.505         -4.718    0.000779474              0              0              0
      21.005         -5.212     0.00081402              0              0              0
      21.505         -5.674    0.000845288              0              0              0
      22.005         -6.105    0.000873445              0              0              0
      22.505         -6.506    0.000898685              0              0              0
      23.005         -6.878    0.000921217              0              0              0
      23.505         -7.222    0.000941255              0              0              0
      24.005         -7.539    0.000959009              0              0              0
      24.505         -7.830    0.000974682              0              0              0
      25.005         -8.096    0.000988467              0              0              0
      25.505         -8.338     0.00100054              0              0              0
      26.005         -8.557     0.00101108              0              0              0
      26.505         -8.755     0.00102023              0              0              0
      27.005         -8.932     0.00102813              0              0              0
      27.505         -9.090     0.00103491              0              0              0
      28.005         -9.230      0.0010407              0              0              0
      28.505         -9.352     0.00104558              0              0              0
      29.005         -9.458     0.00104966              0              0              0
      29.505         -9.548     0.00105302              0              0              0
      30.005         -9.623     0.00105575              0              0              0
      30.505         -9.684      0.0010579              0              0              0
      31.005         -9.732     0.00105955              0              0              0
      31.505         -9.767     0.00106074              0              0              0
      32.005         -9.791     0.00106153              0              0              0
      32.505         -9.803     0.00106196              0              0              0
      33.005         -9.804     0.00106208              0              0              0
      33.505         -9.796     0.00106191              0              0              0
      34.005         -9.777      0.0010615              0              0              0
      34.505         -9.749     0.00106087              0              0              0
      35.005         -9.713     0.00106005              0              0              0
      35.505         -9.668     0.00105905              0              0              0
      36.005         -9.615     0.00105791              0              0              0
      36.505         -9.554     0.00105663              0              0              0
      37.005         -9.487     0.00105524              0              0              0
      37.505         -9.412     0.00105375              0              0              0
      38.005         -9.331     0.00105217              0              0              0
      38.505         -9.243     0.00105052              0              0              0
      39.005         -9.150     0.00104881              0              0              0
      39.505         -9.050     0.00104704              0              0              0
      40.005         -8.946     0.00104522              0              0              0
      40.505         -8.836     0.00104337              0              0              0
      41.005         -8.721     0.00104148              0              0              0
      41.505         -8.602     0.00103956              0              0              0
      42.005         -8.478     0.00103763              0              0              0
      42.505         -8.351     0.00103567              0              0              0
      43.005         -8.219     0.00103371              0              0              0
      43.505         -8.083     0.00103174              0              0              0
      44.005         -7.944     0.00102976              0              0              0
      44.505         -7.802     0.00102777              0              0              0
      45.005         -7.657     0.00102579              0              0              0
      45.505         -7.509     0.00102381              0              0              0
      46.005         -7.358     0.00102183              0              0              0
      46.505         -7.205     0.00101986              0              0              0
      47.005         -7.049     0.00101789              0              0              0
      47.505         -6.892     0.00101594              0              0              0
      48.005         -6.732     0.00101399              0              0              0
      48.505         -6.571     0.00101206              0              0              0
      49.005         -6.409     0.00101013              0              0              0
      49.505         -6.245     0.00100822              0              0              0
      50.005         -6.081     0.00100632              0              0              0
      50.505         -5.915     0.00100443              0              0              0
      51.005         -5.749     0.00100256              0              0              0
      51.505         -5.583      0.0010007              0              0              0
      52.005         -5.416    0.000998855              0              0              0
      52.505         -5.249    0.000997025              0              0              0
      53.005         -5.082     0.00099521              0              0              0
      53.505         -4.915    0.000993409              0              0              0
      54.005         -4.749    0.000991624              0              0              0
      54.505         -4.583    0.000989853              0              0              0
      55.005         -4.418    0.000988097              0              0              0
      55.505         -4.254    0.000986356              0              0              0
      56.005         -4.092    0.000984629              0              0              0
      56.505         -3.930    0.000982917              0              0              0
      57.005         -3.770     0.00098122              0              0              0
      57.505         -3.611    0.000979537              0              0              0
      58.005         -3.455    0.000977868              0              0              0
      58.505         -3.300    0.000976213              0              0              0
      59.005         -3.147    0.000974572              0              0              0
      59.505         -2.996    0.000972944              0              0              0
      60.005         -2.847     0.00097133              0              0              0
      60.505         -2.701    0.000969728              0              0              0
      61.005         -2.557    0.000968139              0              0              0
      61.505         -2.415    0.000966563              0              0              0
      62.005         -2.276       0.000965              0              0              0
      62.505         -2.140    0.000963448              0              0              0
      63.005         -2.007    0.000961908              0              0              0
      63.505         -1.877    0.000960379              0              0              0
      64.005         -1.749    0.000958862              0              0              0
