# CRN98 workman_am @ 1.0Hz (beat 10)
# times shifted to give profile starting at 0ms, with stimulus at 50ms
#  time (ms)  Membrane (mV)   [Ca2+]i (mM)            Ito           Ikur            IK1
       0.005        -83.881    8.89214e-05              0              0              0
       0.505        -83.881    8.89099e-05              0              0              0
       1.005        -83.881    8.88985e-05              0              0              0
       1.505        -83.881    8.88871e-05              0              0              0
       2.005        -83.882    8.88758e-05              0              0              0
       2.505        -83.882    8.88644e-05              0              0              0
       3.005        -83.882    8.88531e-05              0              0              0
       3.505        -83.882    8.88418e-05              0              0              0
       4.005        -83.882    8.88305e-05              0              0              0
       4.505        -83.882    8.88192e-05              0              0              0
       5.005        -83.882    8.88079e-05              0              0              0
       5.505        -83.883    8.87967e-05              0              0              0
       6.005        -83.883    8.87855e-05              0              0              0
       6.505        -83.883    8.87743e-05              0              0              0
       7.005        -83.883    8.87631e-05              0              0              0
       7.505        -83.883    8.87519e-05              0              0              0
       8.005        -83.883    8.87408e-05              0              0              0
       8.505        -83.883    8.87296e-05              0              0              0
       9.005        -83.884    8.87185e-05              0              0              0
       9.505        -83.884    8.87074e-05              0              0              0
      10.005        -83.884    8.86964e-05              0              0              0
      10.505        -74.943    8.86896e-05              0              0              0
      11.005        -65.318    8.86935e-05              0              0              0
      11.505        -55.518    8.87089e-05              0              0              0
      12.005        -38.123    8.87395e-05              0              0              0
      12.505         22.224     8.8854e-05              0              0              0
      13.005         24.558    8.90911e-05              0              0              0
      13.505         22.232    8.93867e-05              0              0              0
      14.005         19.244     8.9976e-05              0              0              0
      14.505         16.279    9.21527e-05              0              0              0
      15.005         13.585    9.69341e-05              0              0              0
      15.505         11.218    0.000104708              0              0              0
      16.005          9.162    0.000115387              0              0              0
      16.505          7.376    0.000128574              0              0              0
      17.005          5.817    0.000143714              0              0              0
      17.505          4.446    0.000160209              0              0              0
      18.005          3.229    0.000177491              0              0              0
      18.505          2.139    0.000195065              0              0              0
      19.005          1.154    0.000212523              0              0              0
      19.505          0.256    0.000229548              0              0              0
      20.005         -0.568    0.000245903              0              0              0
      20.505         -1.331    0.000261425              0              0              0
      21.005         -2.041    0.000276008              0              0              0
      21.505         -2.705    0.000289595              0              0              0
      22.005         -3.330    0.000302165              0              0              0
      22.505         -3.918    0.000313723              0              0              0
      23.005         -4.475    0.000324298              0              0              0
      23.505         -5.005    0.000333929              0              0              0
      24.005         -5.508    0.000342665              0              0              0
      24.505         -5.988    0.000350562              0              0              0
      25.005         -6.448    0.000357676              0              0              0
      25.505         -6.887    0.000364066              0              0              0
      26.005         -7.309    0.000369789              0              0              0
      26.505         -7.715      0.0003749              0              0              0
      27.005         -8.105    0.000379451              0              0              0
      27.505         -8.481    0.000383492              0              0              0
      28.005         -8.844    0.000387068              0              0              0
      28.505         -9.195    0.000390224              0              0              0
      29.005         -9.535    0.000392999              0              0              0
      29.505         -9.864    0.000395429              0              0              0
      30.005        -10.183    0.000397548              0              0              0
      30.505        -10.493    0.000399385              0              0              0
      31.005        -10.795    0.000400971              0              0              0
      31.505        -11.089    0.000402328              0              0              0
      32.005        -11.375    0.000403481              0              0              0
      32.505        -11.654     0.00040445              0              0              0
      33.005        -11.927    0.000405254              0              0              0
      33.505        -12.194     0.00040591              0              0              0
      34.005        -12.456    0.000406433              0              0              0
      34.505        -12.712    0.000406837              0              0              0
      35.005        -12.963    0.000407135              0              0              0
      35.505        -13.209    0.000407337              0              0              0
      36.005        -13.451    0.000407454              0              0              0
      36.505        -13.690    0.000407494              0              0              0
      37.005        -13.924    0.000407466              0              0              0
      37.505        -14.155    0.000407377              0              0              0
      38.005        -14.382    0.000407234              0              0              0
      38.505        -14.607    0.000407041              0              0              0
      39.005        -14.828    0.000406805              0              0              0
