# CRN98 workman_ct @ 1.0Hz (beat 10)
# times shifted to give profile starting at 0ms, with stimulus at 50ms
#  time (ms)  Membrane (mV)   [Ca2+]i (mM)            Ito           Ikur            IK1
       0.005        -83.822    9.32387e-05              0              0              0
       0.505        -83.822    9.32248e-05              0              0              0
       1.005        -83.822    9.32108e-05              0              0              0
       1.505        -83.823    9.31969e-05              0              0              0
       2.005        -83.823     9.3183e-05              0              0              0
       2.505        -83.823    9.31691e-05              0              0              0
       3.005        -83.823    9.31553e-05              0              0              0
       3.505        -83.823    9.31414e-05              0              0              0
       4.005        -83.823    9.31276e-05              0              0              0
       4.505        -83.824    9.31139e-05              0              0              0
       5.005        -83.824    9.31001e-05              0              0              0
       5.505        -83.824    9.30863e-05              0              0              0
       6.005        -83.824    9.30726e-05              0              0              0
       6.505        -83.824    9.30589e-05              0              0              0
       7.005        -83.825    9.30453e-05              0              0              0
       7.505        -83.825    9.30316e-05              0              0              0
       8.005        -83.825     9.3018e-05              0              0              0
       8.505        -83.825    9.30044e-05              0              0              0
       9.005        -83.825    9.29908e-05              0              0              0
       9.505        -83.825    9.29772e-05              0              0              0
      10.005        -83.826    9.29637e-05              0              0              0
      10.505        -74.884    9.29546e-05              0              0              0
      11.005        -65.257    9.29568e-05              0              0              0
      11.505        -55.450    9.29712e-05              0              0              0
      12.005        -37.852    9.30021e-05              0              0              0
      12.505         22.321    9.31303e-05              0              0              0
      13.005         24.580    9.34368e-05              0              0              0
      13.505         22.182    9.46898e-05              0              0              0
      14.005         19.120    9.86714e-05              0              0              0
      14.505         16.134     0.00010644              0              0              0
      15.005         13.481    0.000118295              0              0              0
      15.505         11.207    0.000133934              0              0              0
      16.005          9.276     0.00015268              0              0              0
      16.505          7.632    0.000173691              0              0              0
      17.005          6.223    0.000196118              0              0              0
      17.505          4.999    0.000219196              0              0              0
      18.005          3.924    0.000242285              0              0              0
      18.505          2.967    0.000264883              0              0              0
      19.005          2.107    0.000286617              0              0              0
      19.505          1.324     0.00030723              0              0              0
      20.005          0.607    0.000326558              0              0              0
      20.505         -0.055    0.000344511              0              0              0
      21.005         -0.670     0.00036106              0              0              0
      21.505         -1.244    0.000376217              0              0              0
      22.005         -1.782    0.000390025              0              0              0
      22.505         -2.288    0.000402547              0              0              0
      23.005         -2.764    0.000413858              0              0              0
      23.505         -3.213    0.000424041              0              0              0
