# conduction velocity
# CRN98_bosch_am
# Cell pre-paced 1 times @ 1000 interval
#    delay        cv
      1000   0.25455
       900  0.254582
       800  0.254582
       700  0.254582
       600  0.254615
       500  0.254615
       490  0.254647
       480  0.254647
       470  0.254647
       460   0.25468
       450  0.254647
       440  0.254647
       430   0.25468
       420   0.25468
       410   0.25468
       400   0.25468
       390   0.25468
       380   0.25468
       370   0.25468
       360  0.254712
       350   0.25468
       340  0.254712
       330   0.25468
       320  0.254712
       310  0.254712
       300  0.254712
       295  0.254712
       290  0.254745
       285  0.254712
       280  0.254712
       275  0.254745
       270  0.254745
       265  0.254745
       260  0.254712
       255  0.254712
       250  0.254745
       245  0.254745
       240  0.254745
       235  0.254712
       230  0.254712
       225   0.25468
       220  0.254647
       215  0.254647
       210  0.254582
       205   0.25455
       200  0.254453
       195  0.254323
       190  0.254162
       185  0.253936
       180  0.253614
       175  0.253197
       170  0.252621
       165  0.251826
       160  0.250752
       155  0.249314
       150  0.247433
       145  0.244978
       140  0.241896
       135  0.238124
       130  0.233863
       129  0.232992
       128  0.232099
       127  0.231214
       126  0.230362
       125  0.229542
       124  0.228754
       123  0.228024
       122   0.22735
       121  0.226706
       120  0.226219
       119  0.225887
       118  0.225734
       117  0.226219
