# conduction velocity
# CRN98_bosch_ct
# Cell pre-paced 1 times @ 1000 interval
#    delay        cv
      1000  0.254647
       900  0.254712
       800  0.254842
       700   0.25507
       600   0.25533
       500  0.255787
       490  0.255853
       480  0.255885
       470  0.255951
       460  0.256049
       450  0.256115
       440   0.25618
       430  0.256279
       420  0.256345
       410   0.25641
       400  0.256509
       390  0.256608
       380  0.256739
       370  0.256838
       360   0.25697
       350  0.257102
       340  0.257235
       330  0.257367
       320    0.2575
       310  0.257666
       300  0.257832
       295  0.257931
       290  0.258031
       285  0.258131
       280  0.258198
       275  0.258298
       270  0.258398
       265  0.258532
       260  0.258632
       255  0.258732
       250  0.258833
       245  0.258933
       240  0.259034
       235  0.259101
       230  0.259168
       225  0.259235
       220  0.259235
       215  0.259168
       210  0.259101
       205  0.258933
       200  0.258665
       195  0.258264
       190  0.257732
       185  0.256904
       180  0.255853
       175  0.254421
       170  0.252525
       165  0.250125
       160  0.247127
       155  0.243487
       150  0.239292
       145  0.234797
       144  0.233918
       143  0.233046
       142  0.232234
       141  0.231401
       140  0.230654
       139  0.229938
       138  0.229305
       137  0.228754
       136  0.228337
       135  0.228076
       134  0.228076
       133  0.228964
