# conduction velocity
# CRN98_con
# Cell pre-paced 1 times @ 1000 interval
#    delay        cv
      1000   0.26617
       900   0.26656
       800  0.267094
       700  0.267881
       650   0.26842
       600  0.269034
       595   0.26907
       590  0.269143
       585  0.269215
       580  0.269288
       575  0.269324
       570  0.269397
       565  0.269469
       560  0.269542
       555  0.269578
       550  0.269651
       545  0.269687
       540  0.269796
       535  0.269833
       530  0.269869
       525  0.269906
       520  0.269942
       515  0.269978
       510  0.270015
       505  0.269978
       500  0.270015
       495  0.269978
       490  0.269942
       485  0.269869
       480  0.269796
       475  0.269687
       470  0.269542
       465   0.26936
       460  0.269143
       455  0.268853
       450  0.268492
       445  0.268097
       440   0.26763
       435  0.267058
       430  0.266383
       425   0.26564
       420   0.26476
       415  0.263713
       410  0.262536
       405  0.261165
       400  0.259639
       395  0.257832
       390  0.255885
       385  0.253614
       380   0.25113
       375  0.248324
       370  0.245278
       365  0.241896
       360  0.238294
       355  0.234384
       350  0.230362
       345  0.226219
       340  0.222148
       339  0.221361
       338   0.22058
       337  0.219804
       336  0.219058
       335  0.218341
       334  0.217604
       333   0.21692
       332  0.216286
       331  0.215633
       330  0.215031
       329  0.214477
       328  0.213972
       327  0.213516
       326  0.213151
       325  0.212834
       324  0.212653
       323  0.212675
       322  0.213061
       321  0.214477
