# conduction velocity
# CRN98_ct
# Cell pre-paced 1 times @ 1000 interval
#    delay        cv
      1000   0.26688
       900  0.267308
       800  0.267917
       700  0.268745
       650  0.269251
       600  0.269869
       595  0.269906
       590  0.269978
       585  0.270015
       580  0.270088
       575  0.270124
       570  0.270197
       565   0.27027
       560   0.27027
       555  0.270343
       550   0.27038
       545  0.270453
       540  0.270453
       535   0.27049
       530   0.27049
       525  0.270563
       520  0.270526
       515  0.270526
       510  0.270526
       505   0.27049
       500  0.270416
       495  0.270343
       490   0.27027
       485  0.270124
       480  0.269942
       475   0.26976
       470  0.269505
       465  0.269251
       460  0.268889
       455  0.268492
       450  0.268025
       445  0.267487
       440  0.266809
       435  0.266064
       430  0.265182
       425  0.264236
       420  0.263089
       415  0.261814
       410  0.260349
       405  0.258732
       400  0.256871
       395  0.254777
       390  0.252461
       385  0.249875
       380  0.247005
       375  0.243843
       374  0.243191
       370  0.240414
       365  0.236742
       360  0.232802
       355  0.228728
       350  0.224618
       345  0.220653
       340   0.21699
       339  0.216357
       338  0.215726
       337  0.215123
       336  0.214592
       335  0.214087
       334  0.213652
       333  0.213265
       332  0.213015
       331  0.212879
       330  0.212993
       329  0.213652
       328  0.218794
