# conduction velocity
# CRN98_workman_am
# Cell pre-paced 1 times @ 1000 interval
#    delay        cv
      1000   0.25507
       900    0.2552
       800  0.255395
       700  0.255689
       600  0.256115
       500  0.256805
       495  0.256871
       490  0.256904
       485   0.25697
       480  0.257003
       475  0.257069
       470  0.257102
       465  0.257169
       460  0.257235
       455  0.257268
       450  0.257301
       445    0.2574
       440  0.257467
       435  0.257533
       430  0.257566
       425  0.257632
       420  0.257699
       415  0.257765
       410  0.257865
       405  0.257898
       400  0.257998
       395  0.258065
       390  0.258131
       385  0.258231
       380  0.258298
       375  0.258398
       370  0.258465
       365  0.258532
       360  0.258665
       355  0.258732
       350  0.258833
       345  0.258933
       340  0.259034
       335  0.259134
       330  0.259235
       325  0.259302
       320  0.259403
       315  0.259504
       310  0.259605
       305  0.259673
       300   0.25974
       295  0.259808
       290  0.259875
       285  0.259909
       280  0.259943
       275  0.259909
       270  0.259841
       265   0.25974
       260  0.259538
       255  0.259302
       250  0.258933
       245  0.258431
       240  0.257798
       235   0.25697
       230  0.255853
       225  0.254518
       220  0.252813
       215  0.250721
       210  0.248231
       205  0.245218
       200   0.24175
       195   0.23784
       190  0.233645
       185  0.229489
       184  0.228702
       183  0.227946
       182  0.227195
       181  0.226526
       180  0.225861
       179  0.225276
       178  0.224744
       177  0.224316
       176  0.223989
       175  0.223864
       174   0.22409
       173  0.225632
