# conduction velocity
# CRN98_workman_ct
# Cell pre-paced 1 times @ 1000 interval
#    delay        cv
      1000  0.255265
       900   0.25546
       800  0.255689
       700  0.256082
       600  0.256641
       500  0.257566
       495  0.257666
       490  0.257732
       485  0.257765
       480  0.257832
       475  0.257898
       470  0.257965
       465  0.258031
       460  0.258098
       455  0.258198
       450  0.258231
       445  0.258331
       440  0.258431
       435  0.258498
       430  0.258565
       425  0.258665
       420  0.258766
       415  0.258833
       410  0.258933
       405  0.259034
       400  0.259134
       395  0.259235
       390  0.259336
       385  0.259437
       380  0.259572
       375  0.259639
       370   0.25974
       365  0.259875
       360  0.259943
       355  0.260078
       350   0.26018
       345  0.260281
       340  0.260349
       335  0.260417
       330  0.260485
       325  0.260518
       320  0.260552
       315  0.260518
       310  0.260451
       305  0.260349
       300  0.260146
       295  0.259875
       290  0.259504
       285     0.259
       280  0.258298
       275  0.257433
       270  0.256345
       265  0.254939
       260  0.253229
       255   0.25113
       250  0.248602
       245   0.24561
       240  0.242101
       235  0.238152
       230  0.233863
       225  0.229437
       220  0.225352
       219  0.224618
       218  0.223914
       217  0.223264
       216  0.222692
       215  0.222124
       214   0.22168
       213  0.221337
       212  0.221117
       211  0.221117
       210  0.221582
       209  0.225048
