# CRN98 con @ 1.0Hz (beat 10)
# times shifted to give profile starting at 0ms, with stimulus at 50ms
#  time (ms)  Membrane (mV)   [Ca2+]i (mM)              d              f            IK1
       0.005        -80.851    0.000115524     0.00014246       0.915292     0.00288936
       0.505        -80.851    0.000115503     0.00014245       0.915386     0.00288882
       1.005        -80.852    0.000115483     0.00014244       0.915479     0.00288827
       1.505        -80.853    0.000115462     0.00014243       0.915573     0.00288772
       2.005        -80.853    0.000115441     0.00014242       0.915667     0.00288718
       2.505        -80.854     0.00011542     0.00014241        0.91576     0.00288663
       3.005        -80.854    0.000115399      0.0001424       0.915853     0.00288609
       3.505        -80.855    0.000115378     0.00014239       0.915947     0.00288554
       4.005        -80.855    0.000115357     0.00014238        0.91604       0.002885
       4.505        -80.856    0.000115337     0.00014237       0.916133     0.00288446
       5.005        -80.857    0.000115316     0.00014236       0.916226     0.00288392
       5.505        -80.857    0.000115295     0.00014235       0.916319     0.00288338
       6.005        -80.858    0.000115275    0.000142341       0.916411     0.00288285
       6.505        -80.858    0.000115254    0.000142331       0.916504     0.00288231
       7.005        -80.859    0.000115234    0.000142321       0.916596     0.00288178
       7.505        -80.859    0.000115213    0.000142311       0.916689     0.00288124
       8.005        -80.860    0.000115193    0.000142301       0.916781     0.00288071
       8.505        -80.860    0.000115172    0.000142292       0.916873     0.00288017
       9.005        -80.861    0.000115152    0.000142282       0.916965     0.00287964
       9.505        -80.861    0.000115131    0.000142272       0.917057     0.00287911
      10.005        -80.862    0.000115111    0.000142262       0.917149     0.00287858
      10.505        -71.836    0.000115096    0.000234965       0.917241      0.0086108
      11.005        -61.994    0.000115096     0.00067336       0.917331        0.02379
      11.505        -51.462    0.000115111     0.00209432       0.917411      0.0666749
      12.005        -11.410    0.000115158      0.0185149        0.91711       0.549169
      12.505         24.613    0.000115409       0.376661       0.915631        223.027
      13.005         22.878    0.000116929       0.652602       0.914349        694.618
      13.505         18.622    0.000122577       0.790111       0.912995        902.355
      14.005         14.155    0.000134268       0.855694       0.911531        907.485
      14.505         10.257    0.000152677       0.884097       0.909953        833.081
      15.005          7.090    0.000177378        0.89199       0.908282         740.18
      15.505          4.576    0.000207253       0.887872        0.90654        651.852
      16.005          2.582    0.000240901       0.876529        0.90475        574.874
      16.505          0.980    0.000276912       0.860874       0.902928        509.837
      17.005         -0.333    0.000314017       0.842754       0.901084        455.304
      17.505         -1.435    0.000351151       0.823355       0.899228        409.426
      18.005         -2.380    0.000387475       0.803431       0.897365        370.497
      18.505         -3.209    0.000422365       0.783457       0.895498        337.118
      19.005         -3.949    0.000455385       0.763726       0.893631        308.188
      19.505         -4.619    0.000486258       0.744414       0.891765        282.864
      20.005         -5.233    0.000514839       0.725625       0.889903        260.499
      20.505         -5.799    0.000541078       0.707419       0.888045        240.601
      21.005         -6.324    0.000565003       0.689831       0.886192        222.786
      21.505         -6.813    0.000586688       0.672882       0.884347        206.755
      22.005         -7.269    0.000606247       0.656583       0.882508        192.267
      22.505         -7.694    0.000623809        0.64094       0.880678        179.129
      23.005         -8.092    0.000639519       0.625958       0.878856         167.18
      23.505         -8.464    0.000653521       0.611637       0.877042        156.285
      24.005         -8.812     0.00066596       0.597976       0.875237        146.328
      24.505         -9.136    0.000676975       0.584971       0.873441        137.211
      25.005         -9.440    0.000686697       0.572615       0.871655        128.847
      25.505         -9.723    0.000695249       0.560899       0.869877        121.161
      26.005         -9.986    0.000702746       0.549812       0.868109        114.086
      26.505        -10.232    0.000709292       0.539341        0.86635        107.563
      27.005        -10.461    0.000714984       0.529468         0.8646         101.54
      27.505        -10.674    0.000719908       0.520178       0.862858        95.9687
      28.005        -10.872    0.000724143       0.511451       0.861126        90.8087
      28.505        -11.056    0.000727761       0.503266       0.859401        86.0221
      29.005        -11.226    0.000730827       0.495604       0.857685        81.5756
      29.505        -11.384    0.000733399       0.488441       0.855977         77.439
      30.005        -11.530    0.000735528       0.481758       0.854277        73.5853
      30.505        -11.665    0.000737264        0.47553       0.852585        69.9901
      31.005        -11.789    0.000738647       0.469738         0.8509        66.6317
      31.505        -11.903    0.000739715       0.464359       0.849221        63.4902
      32.005        -12.008    0.000740504       0.459373        0.84755        60.5478
      32.505        -12.104    0.000741042       0.454759       0.845886        57.7884
      33.005        -12.191    0.000741359       0.450498       0.844228        55.1975
      33.505        -12.271    0.000741477       0.446571       0.842576        52.7618
      34.005        -12.343     0.00074142        0.44296        0.84093        50.4694
      34.505        -12.408    0.000741207       0.439647        0.83929        48.3093
      35.005        -12.466    0.000740855       0.436617       0.837655        46.2717
      35.505        -12.518     0.00074038       0.433854       0.836026        44.3476
      36.005        -12.564    0.000739797       0.431344       0.834402        42.5288
      36.505        -12.604    0.000739117       0.429072       0.832783        40.8077
      37.005        -12.639    0.000738353       0.427025       0.831169        39.1775
      37.505        -12.668    0.000737513       0.425191       0.829559         37.632
