# CRN98 icl @ 1.0Hz (beat 10)
# times shifted to give profile starting at 0ms, with stimulus at 50ms
#  time (ms)  Membrane (mV)   [Ca2+]i (mM)              d              f            IK1
       0.005        -78.670    0.000113741    0.000187104       0.926779              0
       0.505        -78.670    0.000113721    0.000187091        0.92686              0
       1.005        -78.671    0.000113701    0.000187077       0.926941              0
       1.505        -78.671    0.000113681    0.000187064       0.927022              0
       2.005        -78.672    0.000113661    0.000187051       0.927103              0
       2.505        -78.673    0.000113641    0.000187038       0.927183              0
       3.005        -78.673    0.000113621    0.000187025       0.927264              0
       3.505        -78.674    0.000113601    0.000187012       0.927344              0
       4.005        -78.674    0.000113581    0.000186998       0.927425              0
       4.505        -78.675    0.000113561    0.000186985       0.927505              0
       5.005        -78.675    0.000113542    0.000186972       0.927585              0
       5.505        -78.676    0.000113522    0.000186959       0.927665              0
       6.005        -78.676    0.000113502    0.000186946       0.927745              0
       6.505        -78.677    0.000113482    0.000186933       0.927825              0
       7.005        -78.678    0.000113463     0.00018692       0.927905              0
       7.505        -78.678    0.000113443    0.000186907       0.927984              0
       8.005        -78.679    0.000113423    0.000186894       0.928064              0
       8.505        -78.679    0.000113404    0.000186881       0.928144              0
       9.005        -78.680    0.000113384    0.000186869       0.928223              0
       9.505        -78.680    0.000113365    0.000186856       0.928302              0
      10.005        -78.681    0.000113345    0.000186843       0.928382              0
      10.505        -69.647    0.000113331    0.000305621       0.928461              0
      11.005        -59.763    0.000113332    0.000869345       0.928537              0
      11.505        -48.391    0.000113348     0.00276999       0.928596              0
      12.005          8.301    0.000113415      0.0572427       0.927874              0
      12.505         24.859    0.000113754       0.453168       0.926509              0
      13.005         22.022    0.000115893        0.69192       0.925202              0
      13.505         17.494    0.000122495       0.808848       0.923807              0
      14.005         13.045     0.00013513       0.863679       0.922295              0
      14.505          9.264    0.000154184       0.886061       0.920669              0
      15.005          6.225    0.000179063       0.890249       0.918953              0
      15.505          3.823    0.000208606       0.883679       0.917171              0
      16.005          1.916    0.000241449        0.87063       0.915344              0
      16.505          0.380     0.00027626       0.853746       0.913489              0
      17.005         -0.885    0.000311859        0.83471       0.911615              0
      17.505         -1.953    0.000347272       0.814602        0.90973              0
      18.005         -2.874    0.000381741       0.794105        0.90784              0
      18.505         -3.688    0.000414713       0.773647       0.905948              0
      19.005         -4.419    0.000445809       0.753487       0.904056              0
      19.505         -5.084    0.000474799       0.733778       0.902167              0
      20.005         -5.696     0.00050157        0.71461       0.900282              0
      20.505         -6.263    0.000526097       0.696032       0.898403              0
      21.005         -6.791     0.00054842       0.678073        0.89653              0
      21.505         -7.285    0.000568624       0.660748       0.894665              0
      22.005         -7.748    0.000586824       0.644067       0.892808              0
      22.505         -8.183    0.000603148       0.628033        0.89096              0
      23.005         -8.591    0.000617737       0.612649       0.889121              0
      23.505         -8.974     0.00063073       0.597915       0.887292              0
      24.005         -9.334    0.000642265       0.583828       0.885473              0
      24.505         -9.672    0.000652473       0.570385       0.883663              0
      25.005         -9.989    0.000661478       0.557577       0.881864              0
      25.505        -10.288    0.000669396       0.545396       0.880075              0
      26.005        -10.568    0.000676333       0.533831       0.878297              0
      26.505        -10.831    0.000682388       0.522867       0.876528              0
      27.005        -11.078    0.000687649       0.512489        0.87477              0
      27.505        -11.310    0.000692198       0.502679       0.873021              0
      28.005        -11.527    0.000696108       0.493419       0.871283              0
      28.505        -11.731    0.000699446       0.484688       0.869554              0
      29.005        -11.923    0.000702272       0.476464       0.867834              0
      29.505        -12.102    0.000704639       0.468728       0.866124              0
      30.005        -12.270    0.000706597       0.461457       0.864422              0
      30.505        -12.428    0.000708188       0.454628        0.86273              0
      31.005        -12.576    0.000709453       0.448222       0.861046              0
      31.505        -12.714    0.000710425       0.442216        0.85937              0
      32.005        -12.843    0.000711138       0.436589       0.857703              0
      32.505        -12.964    0.000711618       0.431321       0.856043              0
      33.005        -13.078    0.000711891       0.426393       0.854391              0
      33.505        -13.183    0.000711981       0.421787       0.852747              0
      34.005        -13.282    0.000711907       0.417483        0.85111              0
      34.505        -13.374    0.000711687       0.413466        0.84948              0
      35.005        -13.459    0.000711338       0.409718       0.847856              0
      35.505        -13.539    0.000710874       0.406224       0.846239              0
      36.005        -13.613    0.000710308       0.402971       0.844629              0
      36.505        -13.682    0.000709652       0.399943       0.843025              0
      37.005        -13.745    0.000708917       0.397128       0.841427              0
      37.505        -13.804    0.000708111       0.394513       0.839834              0
      38.005        -13.858    0.000707243       0.392088       0.838248              0
      38.505        -13.908     0.00070632       0.389841       0.836667              0
      39.005        -13.954    0.000705349       0.387762       0.835091              0
      39.505        -13.996    0.000704335       0.385841        0.83352              0
      40.005        -14.034    0.000703284       0.384069       0.831954              0
      40.505        -14.069    0.000702201       0.382439       0.830394              0
      41.005        -14.100     0.00070109       0.380941       0.828838              0
      41.505        -14.129    0.000699955       0.379569       0.827286              0
      42.005        -14.154    0.000698798       0.378316       0.825739              0
      42.505        -14.177    0.000697623       0.377174       0.824196              0
      43.005        -14.196    0.000696432       0.376138       0.822658              0
      43.505        -14.214    0.000695228       0.375202       0.821124              0
      44.005        -14.229    0.000694013        0.37436       0.819593              0
