# conduction velocity
# CRN98_con
# Cell pre-paced 10 times @ 1000 interval
#    delay        cv
      1000  0.266916
       980  0.266987
       960  0.267058
       940   0.26713
       920  0.267201
       900  0.267308
       880   0.26738
       860  0.267487
       840  0.267594
       820  0.267702
       800  0.267845
       780  0.267953
       760  0.268061
       740   0.26824
       720   0.26842
       700  0.268601
       680  0.268745
       660  0.268962
       640  0.269179
       620  0.269397
       600  0.269651
       580  0.269906
       560  0.270161
       540   0.27038
       520  0.270599
       500  0.270709
       490  0.270673
       480  0.270636
       470  0.270416
       460  0.270124
       450  0.269687
       440  0.268998
       430  0.267989
       420  0.266667
       410  0.264795
       400  0.262295
       390  0.259067
       380  0.254939
       370  0.249688
       360  0.243279
       350  0.235821
       340  0.227687
       338  0.226065
       336  0.224442
       334  0.222866
       332  0.221361
       330  0.219901
       329  0.219226
       328  0.218555
       327   0.21796
       326  0.217344
       325  0.216802
       324   0.21631
       323  0.215889
       322   0.21554
     321.5  0.215401
       321  0.215308
     320.5  0.215239
       320  0.215239
     319.5  0.215308
       319  0.215471
     318.5  0.215843
     318.4  0.215936
     318.3  0.216053
     318.2  0.216193
     318.1  0.216357
       318  0.216544
     317.9  0.216755
     317.8  0.217037
     317.7  0.217368
     317.6  0.217746
     317.5  0.218269
     317.4  0.218962
     317.3  0.219949
     317.2  0.221435
     317.1  0.224542
