# conduction velocity
# CRN98_icl
# Cell pre-paced 10 times @ 1000 interval
#    delay        cv
      1000  0.272814
       980  0.272851
       960  0.272889
       940  0.272926
       920     0.273
       900  0.273075
       880  0.273112
       860  0.273187
       840  0.273261
       820  0.273336
       800  0.273373
       780  0.273486
       760   0.27356
       740  0.273635
       720  0.273748
       700  0.273823
       680  0.273935
       660   0.27401
       640  0.274123
       620  0.274198
       600  0.274236
       580  0.274236
       560   0.27416
       540  0.273973
       520  0.273598
       500  0.272889
       490  0.272368
       480  0.271739
       470  0.270893
       460  0.269796
       450  0.268456
       440  0.266738
       430  0.264655
       420  0.262055
       410  0.258866
       400  0.255037
       390  0.250376
       380  0.244858
       370  0.238436
       360  0.231241
       350  0.223539
       340  0.216029
       338  0.214684
       336  0.213379
       334  0.212179
       332  0.211126
       330  0.210261
       329   0.20993
     328.5  0.209798
       328  0.209688
     327.5  0.209622
       327  0.209578
     326.5    0.2096
       326  0.209688
     325.5  0.209908
       325  0.210283
     324.5  0.210993
     324.4  0.211193
     324.3  0.211439
     324.2  0.211707
     324.1  0.212067
       324   0.21245
     323.9   0.21297
     323.8  0.213607
     323.7  0.214431
     323.6  0.215633
     323.5  0.217486
     323.4  0.221288
