# erpr for CRN98icl found by binary search
#   BCL (ms)	  ERP (ms)	     ratio	    S1 Amp	    S2 Amp	 APD count
      1024	   338.359	  0.800028	   103.662	   82.9324	         9
       960	   337.422	  0.800055	   103.578	   82.8678	         9
       928	   336.891	   0.80001	   103.536	   82.8301	         9
       896	   336.297	  0.800008	    103.49	   82.7926	         9
       864	   335.641	  0.800012	   103.425	   82.7415	         9
       832	   334.906	  0.800017	   103.354	   82.6851	         9
       800	   334.094	  0.800009	   103.289	   82.6323	         9
       768	   333.141	  0.800037	   103.203	   82.5662	         9
       752	   332.625	   0.80007	   103.163	   82.5372	         9
       736	   332.031	  0.800034	   103.107	    82.489	         9
       720	   331.422	  0.800041	   103.061	    82.453	         9
       704	   330.734	  0.800018	   102.999	   82.4011	         9
       688	   330.016	  0.800038	   102.947	   82.3613	         9
       672	   329.219	  0.800053	   102.877	   82.3073	         9
       656	   328.359	  0.800021	   102.817	   82.2554	         9
       640	   327.406	  0.800015	   102.738	   82.1916	         9
       624	   326.406	  0.800059	   102.666	   82.1386	         9
       616	   325.844	  0.800039	   102.614	   82.0953	         9
       608	   325.281	   0.80005	   102.574	   82.0643	         9
       600	   324.688	  0.800023	   102.531	   82.0275	         9
       592	   324.047	  0.800003	   102.474	   81.9792	         9
       584	   323.406	   0.80001	   102.426	   81.9421	         9
       576	    322.75	  0.800074	   102.376	   81.9085	         9
       568	   322.016	  0.800021	    102.31	   81.8501	         9
       560	   321.281	  0.800014	   102.253	    81.804	         9
       552	     320.5	  0.800046	   102.179	    81.748	         9
       544	   319.703	  0.800057	   102.114	   81.6971	         9
       536	   318.859	   0.80004	   102.044	   81.6392	         9
       528	   317.953	  0.800026	   101.955	   81.5664	         9
       520	   317.031	   0.80004	   101.872	   81.5018	         9
       512	   316.047	  0.800058	   101.769	   81.4211	         9
       508	   315.531	  0.800006	   101.721	   81.3774	         9
       504	   315.016	  0.800004	   101.671	   81.3369	         9
       500	     314.5	  0.800055	   101.618	   81.2997	         9
       496	   313.953	  0.800016	   101.562	   81.2513	         9
       492	   313.375	  0.800012	   101.491	    81.194	         9
       488	   312.812	  0.800023	    101.43	   81.1463	         9
       484	    312.25	   0.80002	   101.365	   81.0944	         9
       480	   311.656	  0.800029	   101.297	   81.0409	         9
       476	   311.031	  0.800059	   101.213	   80.9764	         9
       472	   310.391	  0.800007	   101.138	   80.9109	         9
       468	    309.75	  0.800021	   101.058	   80.8487	         9
       464	   309.094	  0.800021	   100.974	   80.7814	         9
       460	   308.391	  0.800008	   100.872	   80.6986	         9
       456	   307.703	  0.800023	   100.778	   80.6249	         9
       452	       307	   0.80007	   100.679	   80.5501	         9
       448	   306.266	  0.800048	   100.573	   80.4634	         9
       444	     305.5	  0.800062	   100.449	    80.365	         9
       440	   304.734	  0.800048	    100.33	   80.2689	         9
       436	   303.938	  0.800011	   100.205	   80.1647	         9
       432	   303.141	  0.800059	   100.071	   80.0627	         9
       428	   302.281	  0.800004	   99.9164	   79.9335	         9
       424	   301.438	  0.800013	   99.7659	    79.814	         9
       420	   300.578	  0.800051	    99.606	   79.6899	         9
       416	   299.688	  0.800056	   99.4359	   79.5543	         9
       412	    298.75	   0.80005	   99.2423	   79.3988	         9
       408	   297.828	  0.800007	     99.05	   79.2407	         9
       404	   296.875	  0.800055	   98.8455	   79.0819	         9
       400	   295.891	  0.800061	   98.6278	   78.9082	         9
       398	   295.375	  0.800007	   98.5136	   78.8115	         9
       396	   294.859	  0.800043	   98.3833	   78.7109	         9
       394	   294.344	  0.800044	   98.2618	   78.6138	         9
       392	   293.812	  0.800008	   98.1366	   78.5101	         9
       390	   293.281	  0.800004	   98.0074	   78.4063	         9
       388	    292.75	   0.80003	    97.874	   78.3021	         9
       386	   292.219	  0.800066	   97.7363	   78.1955	         9
       384	   291.656	  0.800022	   97.5942	   78.0775	         9
       382	   291.078	  0.800006	    97.435	   77.9486	         9
       380	   290.516	  0.800027	   97.2834	   77.8293	         9
       378	   289.953	   0.80006	   97.1273	   77.7077	         9
       376	   289.391	  0.800059	   96.9661	   77.5786	         9
       374	   288.797	  0.800028	   96.7997	   77.4425	         9
       372	   288.203	  0.800035	   96.6277	   77.3056	         9
       370	   287.594	  0.800011	   96.4502	   77.1612	         9
       368	   286.984	  0.800025	   96.2669	    77.016	         9
       366	   286.344	  0.800026	   96.0653	   76.8547	         9
       364	   285.719	  0.800049	   95.8696	   76.7003	         9
       362	   285.078	  0.800044	   95.6678	   76.5384	         9
       360	   284.422	  0.800012	   95.4593	   76.3686	         9
       358	   283.766	  0.800025	   95.2439	   76.1976	         9
       356	   283.125	  0.800066	   95.0213	   76.0233	         9
       354	   282.438	  0.800008	   94.7911	   75.8336	         9
       352	   281.734	  0.800008	   94.5407	   75.6333	         9
       350	   281.047	  0.800071	   94.2951	   75.4428	         9
       348	   280.328	  0.800012	   94.0411	    75.234	         9
       346	   279.609	  0.800008	   93.7783	   75.0234	         9
       344	   278.875	  0.800009	   93.5066	   74.8061	         9
       342	   278.141	  0.800043	   93.2253	   74.5842	         9
       340	   277.391	  0.800056	   92.9224	   74.3431	         9
       338	   276.625	  0.800059	   92.6203	   74.1017	         9
       336	   275.844	  0.800018	   92.3085	   73.8484	         9
       334	   275.062	  0.800068	   91.9853	   73.5945	         9
       332	    274.25	   0.80003	   91.6503	   73.3229	         9
       330	   273.453	   0.80002	   91.3027	    73.044	         9
       329	   273.031	  0.800069	   91.1124	   72.8962	         9
    328.95	       273	   0.80002	   91.1034	   72.8846	         9
    328.95	       273	   0.80002	   91.1034	   72.8846	         9
